Source,Model,Raw_Text,Year,Price,Naval_Price
outside_202601.pdf,LEXUS,"LEXUS NX200 白 2024/03 1987 手自排 1 ,213,000 汽油 26,544km A+",2024/03,213000,244949
outside_202601.pdf,LEXUS,"LEXUS NX200 白 2024/03 1987 手自排 1 ,190,000 汽油 30,045km A+",2024/03,190000,218499
outside_202601.pdf,LEXUS,"LEXUS NX200 白 2024/03 1987 手自排 1 ,196,000 汽油 36,859km A+",2024/03,196000,225399
outside_202601.pdf,LEXUS,"LEXUS NX200 淺棕 2024/04 1987 手自排 1 ,166,000 汽油 27,808km A+",2024/04,166000,190899
outside_202601.pdf,LEXUS,"LEXUS NX200t 白 2015/02 1998 手自排 5 65,000 汽油 81,611km A",2015/02,65000,74750
outside_202601.pdf,LEXUS,"LEXUS NX200t 淺棕 2016/05 1998 手自排 5 43,000 汽油 152,325km A+",2016/05,43000,49449
outside_202601.pdf,LEXUS,"LEXUS NX200t 淺棕 2016/08 1998 手自排 4 72,000 汽油 142,922km B++",2016/08,72000,82800
outside_202601.pdf,LEXUS,"LEXUS NX200t 淺棕 2016/12 1998 手自排 4 72,000 汽油 235,961km A",2016/12,72000,82800
outside_202601.pdf,LEXUS,"LEXUS NX200t 淺棕 2017/03 1998 手自排 4 90,000 汽油 201,878km A",2017/03,90000,103499
outside_202601.pdf,LEXUS,"LEXUS NX200t 淺棕 2017/03 1998 手自排 5 64,000 汽油 120,864km A+",2017/03,64000,73600
outside_202601.pdf,LEXUS,"LEXUS NX250 黑 2022/04 2487 手自排 1 ,150,000 汽油 84,600km A+",2022/04,150000,172500
outside_202601.pdf,LEXUS,"LEXUS NX300 白 2017/09 1998 手自排 6 52,000 汽油 148,729km B++",2017/09,52000,59799
outside_202601.pdf,LEXUS,"LEXUS NX300 白 2018/08 1998 手自排 7 90,000 汽油 137,442km A+",2018/08,90000,103499
outside_202601.pdf,LEXUS,"LEXUS NX300 白 2020/06 1998 手自排 1 ,040,000 汽油 45,208km A+",2020/06,40000,46000
outside_202601.pdf,LEXUS,"LEXUS NX300 白 2020/06 1998 手自排 1 ,153,000 汽油 15,975km A+",2020/06,153000,175950
outside_202601.pdf,LEXUS,"LEXUS NX300h 黑 2015/04 2494 手自排 5 94,000 油電 138,106km A",2015/04,94000,108099
outside_202601.pdf,LEXUS,"LEXUS NX300h 黑 2017/07 2494 手自排 4 57,000 油電 241,565km A",2017/07,57000,65550
outside_202601.pdf,LEXUS,"LEXUS NX300h 淺棕 2018/06 2494 手自排 4 40,000 油電 279,244km A",2018/06,40000,46000
outside_202601.pdf,LEXUS,"LEXUS NX350h 白 2023/12 2487 手自排 1 ,690,000 油電 40,562km A+",2023/12,690000,793499
outside_202601.pdf,LEXUS,"LEXUS RX200t 淺棕 2016/10 1998 手自排 4 90,000 汽油 362,489km B",2016/10,90000,103499
outside_202601.pdf,LEXUS,"LEXUS RX200t 棕 2017/05 1998 手自排 8 65,000 汽油 75,696km A+",2017/05,65000,74750
outside_202601.pdf,LEXUS,"LEXUS RX200t 黑 2017/05 1998 手自排 4 90,000 汽油 305,712km B++",2017/05,90000,103499
outside_202601.pdf,LEXUS,"LEXUS RX200t 深藍 2017/05 1998 手自排 7 89,000 汽油 69,156km B",2017/05,89000,102349
outside_202601.pdf,LEXUS,"LEXUS RX200t 淺棕 2017/11 1998 手自排 7 35,000 汽油 143,511km A+",2017/11,35000,40250
outside_202601.pdf,LEXUS,"LEXUS RX270 黑 2012/09 2672 手自排 1 91,000 汽油 258,594km B+",2012/09,91000,104649
outside_202601.pdf,LEXUS,"LEXUS RX270 銀 2013/01 2672 手自排 1 85,000 汽油 220,997km B",2013/01,85000,97749
outside_202601.pdf,LEXUS,"LEXUS RX270 銀 2013/09 2672 手自排 2 78,000 汽油 158,048km A",2013/09,78000,89700
outside_202601.pdf,LEXUS,"LEXUS RX270 銀 2015/03 2672 手自排 4 39,000 汽油 73,125km A+",2015/03,39000,44850
outside_202601.pdf,LEXUS,"LEXUS RX300 白 2018/02 1998 手自排 6 47,000 汽油 171,169km B++",2018/02,47000,54049
outside_202601.pdf,LEXUS,"LEXUS RX300 淺棕 2019/12 1998 手自排 9 50,000 汽油 113,866km A",2019/12,50000,57499
outside_202601.pdf,LEXUS,"LEXUS RX300 白 2020/06 1998 手自排 1 ,231,000 汽油 46,288km B",2020/06,231000,265650
outside_202601.pdf,LEXUS,"LEXUS RX300 黑 2022/06 1998 手自排 1 ,293,000 汽油 21,648km A",2022/06,293000,336950
outside_202601.pdf,LEXUS,"LEXUS RX350 深灰 2009/12 3456 手自排 1 54,000 汽油 179,025km B+",2009/12,54000,62099
outside_202601.pdf,LEXUS,"LEXUS RX350 黑 2010/08 3456 手自排 1 64,000 汽油 262,650km B",2010/08,64000,73600
outside_202601.pdf,LEXUS,"LEXUS RX350 白 2023/05 2393 手自排 1 ,453,000 汽油 47,371km C+",2023/05,453000,520949
outside_202601.pdf,LEXUS,"LEXUS RX350 淺棕 2024/01 2393 手自排 1 ,743,000 汽油 12,874km A+",2024/01,743000,854449
outside_202601.pdf,LEXUS,"LEXUS RX350h 白 2023/01 2487 手自排 1 ,558,000 油電 108,864km A+",2023/01,558000,641700
outside_202601.pdf,LEXUS,"LEXUS RX450h 銀 2009/06 3456 手自排 1 36,000 油電 118,393km A+",2009/06,36000,41400
outside_202601.pdf,LEXUS,"LEXUS RX450h 銀 2012/05 3456 手自排 1 37,000 油電 225,097km B++",2012/05,37000,42550
outside_202601.pdf,LEXUS,"LEXUS RX450h 白 2014/06 3456 手自排 2 98,000 油電 106,467km B+",2014/06,98000,112699
outside_202601.pdf,LEXUS,"LEXUS RX450h 黑 2021/08 3456 手自排 1 ,049,000 油電 111,196km B",2021/08,49000,56349
outside_202601.pdf,LEXUS,"LEXUS RX450h 淺棕 2022/06 3456 手自排 1 ,347,000 油電 55,214km A",2022/06,347000,399049
outside_202601.pdf,LEXUS,"LEXUS RZ450e 白 2023/02 308 手自排 1 ,250,000 純電 22,769km B",2023/02,250000,287500
outside_202601.pdf,LEXUS,"LEXUS SC430 深紫 2005/12 4293 手自排 1 62,000 汽油 75,840km A",2005/12,62000,71300
outside_202601.pdf,LEXUS,"LEXUS UX200 白 2019/07 1987 手自排 4 53,000 汽油 171,674km A+",2019/07,53000,60949
